channel_name,date,cost,ihc,ihc_revenue,CPO,ROAS
Paid Search Non Brand,2023-09-02,1963.902,3.4208,180.744187,574.1060570626754,0.09203320074015914
Performance Max,2023-09-02,12676.128,61.9159,3320.410533,204.7313856376149,0.2619420167577986
Referral,2023-09-02,0.0,4.4468,340.053454,0.0,
Social Organic,2023-09-02,342.46000000000004,2.2755,129.13195000000002,150.49879147440123,0.3770716288033639
TikTok Ads,2023-09-02,1104.616,1.0,18.33,1104.616,0.016594001897491977
Untracked Conversions,2023-09-02,0.0,3.0,105.53,0.0,
YouTube Ads,2023-09-02,0.0,0.0,0.0,,
Affiliate & Partnerships,2023-09-03,430.716,3.9793,176.59305,108.23913753675271,0.4099988159251107
Direct Traffic,2023-09-03,1.352,80.7793,4983.4433,0.016736961077899907,3685.978772189349
FB & IG Ads,2023-09-03,11424.588,28.3313,1075.020503,403.24969203672265,0.09409709155376106
Lead Generation,2023-09-03,1256.2079999999999,0.0,0.0,,0.0
Microsoft Ads,2023-09-03,142.845,1.0,118.33,142.845,0.8283804123350484
Newsletter & Email,2023-09-03,0.0,39.7745,2873.017186,0.0,
Organic Traffic,2023-09-03,0.885,21.059,1126.776176,0.04202478750178071,1273.1934192090396
Paid Search Brand,2023-09-03,1983.181,49.8807,3698.873187,39.75848374220892,1.865121331335869
Paid Search Non Brand,2023-09-03,2539.909,7.6144,384.195225,333.56653183441904,0.15126338187706723
Performance Max,2023-09-03,14880.34,69.5458,2760.623138,213.96461037187004,0.18552150945475707
Pinterest Ads,2023-09-03,0.0,0.0,0.0,,
Referral,2023-09-03,0.0,7.889,466.88731,0.0,
Social Organic,2023-09-03,378.31000000000006,1.483,78.44272000000001,255.09777478084965,0.20735037403187861
TikTok Ads,2023-09-03,1112.134,3.0,36.82,370.71133333333336,0.03310752121596858
Untracked Conversions,2023-09-03,0.0,8.3215,476.927565,0.0,
YouTube Ads,2023-09-03,0.0,0.0,0.0,,
Affiliate & Partnerships,2023-09-04,602.512,6.6114,342.813138,91.1322866563814,0.5689731291658922
Direct Traffic,2023-09-04,7.974,92.0149,7427.999533,0.08665987791107745,931.5274056935039
FB & IG Ads,2023-09-04,10499.175,21.002,639.455436,499.91310351395106,0.06090530313096029
Lead Generation,2023-09-04,1311.549,0.0,0.0,,0.0
Microsoft Ads,2023-09-04,176.463,4.2576,336.66642,41.44658962795941,1.9078584179119704
Newsletter & Email,2023-09-04,0.0,155.5006,11129.215236,0.0,
Organic Traffic,2023-09-04,7.21,20.6388,1139.990582,0.3493420160086827,158.1124246879334
Paid Search Brand,2023-09-04,1906.094,49.0991,3050.67862,38.82136332437866,1.60048697493408
Paid Search Non Brand,2023-09-04,2126.649,1.3932,46.839133000000004,1526.4491817398794,0.022024853654740394
Performance Max,2023-09-04,14205.454,71.9024,2547.169705,197.56578361779302,0.17930927832366356
Referral,2023-09-04,1.21,11.0794,957.461114,0.10921169016372728,791.2901768595041
Social Organic,2023-09-04,352.581,3.144,137.41243,112.14408396946565,0.3897329407994191
TikTok Ads,2023-09-04,1065.655,0.0,0.0,,0.0
Untracked Conversions,2023-09-04,0.0,11.303,616.03205,0.0,
Affiliate & Partnerships,2023-09-05,218.928,4.3215,199.687287,50.66018743491843,0.9121139689761018
Direct Traffic,2023-09-05,4.608,39.9178,3089.611981,0.11543722349428073,670.4887111545139
FB & IG Ads,2023-09-05,8227.969000000001,14.0631,265.482263,585.0750545754493,0.032265831701602174
Lead Generation,2023-09-05,945.609,0.0,0.0,,0.0
Microsoft Ads,2023-09-05,140.301,2.5281000000000002,91.983757,55.496618013527936,0.6556172586082779
Newsletter & Email,2023-09-05,0.0,19.0065,1080.491337,0.0,
Organic Traffic,2023-09-05,1.211,29.8295,1711.491724,0.040597395196030776,1413.2879636663913
Paid Search Brand,2023-09-05,1322.759,23.2022,1638.785012,57.010068010792075,1.238914278413528
Paid Search Non Brand,2023-09-05,1687.891,2.8711,237.29923799999997,587.8900073142697,0.1405891956293386
Performance Max,2023-09-05,14150.588,56.2932,1996.191861,251.3729544598637,0.14106776771396354
Referral,2023-09-05,0.0,3.1658,144.91921399999998,0.0,
Social Organic,2023-09-05,179.99099999999999,1.7338,54.416703999999996,103.81301188141653,0.3023301387291587
TikTok Ads,2023-09-05,1064.385,2.0,17.490000000000002,532.1925,0.016432024126608324
Untracked Conversions,2023-09-05,0.0,2.0379,46.143326,0.0,
YouTube Ads,2023-09-05,0.0,0.0,0.0,,
Affiliate & Partnerships,2023-09-06,190.409,4.8005,194.48095,39.66440995729611,1.0213852811579285
Direct Traffic,2023-09-06,0.0,35.4239,1826.343652,0.0,
FB & IG Ads,2023-09-06,8299.713,21.9658,830.584806,377.84706225131794,0.10007391894153449
Lead Generation,2023-09-06,388.136,0.0,0.0,,0.0
Microsoft Ads,2023-09-06,174.953,0.5164,66.82216,338.79357087529047,0.38194349339536904
Newsletter & Email,2023-09-06,0.0,15.7075,836.927563,0.0,
Organic Traffic,2023-09-06,1.619,20.6741,1582.860936,0.07831054314335328,977.6781568869673
Paid Search Brand,2023-09-06,1487.921,24.0129,1894.044717,61.96340300421857,1.272947096653653
Paid Search Non Brand,2023-09-06,1682.7830000000001,0.5706,39.44232,2949.146512443043,0.023438744032950178
Performance Max,2023-09-06,13385.691,53.1314,1619.841883,251.93559740567727,0.12101294456894306
Referral,2023-09-06,0.0,8.7204,409.294173,0.0,
Social Organic,2023-09-06,172.98,1.5026000000000002,138.693716,115.12045787302009,0.801790472887039
TikTok Ads,2023-09-06,1062.466,2.0,71.9,531.233,0.06767275376341456
Untracked Conversions,2023-09-06,0.0,6.0,196.98,0.0,
YouTube Ads,2023-09-06,0.0,0.0,0.0,,
Affiliate & Partnerships,2023-09-07,209.49,5.7469,319.01162,36.45269623623171,1.5228011838273903
Direct Traffic,2023-09-07,2.562,32.7138,1909.407153,0.07831557324431891,745.2799192037471
FB & IG Ads,2023-09-07,8066.877,15.7816,354.834985,511.15710701069605,0.04398666113292666
Lead Generation,2023-09-07,173.984,0.0,0.0,,0.0
Microsoft Ads,2023-09-07,141.925,3.0,130.47,47.30833333333334,0.9192883565263342
Newsletter & Email,2023-09-07,0.0,48.8897,3287.174884,0.0,
Organic Traffic,2023-09-07,0.448,11.0387,675.336366,0.04058448911556614,1507.4472455357143
Paid Search Brand,2023-09-07,1456.531,37.9133,2534.75417,38.417415524367435,1.740267917401003
Paid Search Non Brand,2023-09-07,1523.433,1.0,93.18,1523.433,0.0611644883627964
Performance Max,2023-09-07,12339.061,47.1839,1471.80885,261.5099853975614,0.11928045821314928
Referral,2023-09-07,0.506,1.6303,76.339969,0.31037232411212656,150.86950395256918
Social Organic,2023-09-07,174.43,3.4055,324.136884,51.2200851563647,1.8582633950581895
TikTok Ads,2023-09-07,965.396,0.0,0.0,,0.0
Untracked Conversions,2023-09-07,0.0,10.0,818.15,0.0,
YouTube Ads,2023-09-07,0.0,0.0,0.0,,
